"_id","basisOfRecord","catalogNumber","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","decimalLatitude","decimalLongitude","dynamicProperties","fieldNumber","higherGeography","institutionCode","islandGroup","locality","modified","occurrenceID","occurrenceStatus","otherCatalogNumbers","scientificName","specificEpithet","stateProvince","typeStatus","verbatimLatitude","verbatimLongitude"
"79834","Occurrence","BM.58455d","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862678000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. rose quartz"", ""identificationDescription"": ""Pale rose quartz; faceted; clear; convex table; convex back.  1.649 gm.""}","79","","NHMUK","","no locality","1636734177000","169a3c6e-23de-419b-9907-9ca1157b5537","present","NHMUK:ecatalogue:79834","","","","","",""
"79831","Occurrence","BM.58455a","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862677000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. rose quartz"", ""identificationDescription"": ""Pale rose quartz; faceted; step-cut; flawed on one side.  23.542 gm.""}","76","","NHMUK","","no locality","1636734133000","58edba11-8f74-4241-b5e7-115bc126b3d5","present","NHMUK:ecatalogue:79831","","","","","",""
"79691","Occurrence","BM.58339gg","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862658000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""identificationDescription"": ""Rock crystal; clear; faceted; almost flawless. 6.069 gm.""}","92","","NHMUK","","no locality","1636734840000","8688f7cd-1aae-48c7-b6e8-eff88b65681c","present","NHMUK:ecatalogue:79691","Quartz","Quartz","","","",""
"79835","Occurrence","BM.58455e","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862678000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Tourmaline"", ""identificationDescription"": ""Pale pink, clear, faceted, table slightly convex, much flawed; wt. =  1.557gm.""}","80","","NHMUK","","unknown","1623074433000","f4e3aa45-143e-4f86-8664-bd5a0b5c8f9e","present","NHMUK:ecatalogue:79835","Tourmaline","Tourmaline","","","",""
"79693","Occurrence","BM.58339ii","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862658000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz"", ""identificationDescription"": ""Colourless; clear; step-cut. 0.972 gm.""}","109","","NHMUK","","no locality","1636737424000","137033ba-4ed4-4400-bf34-bbcce566ba7e","present","NHMUK:ecatalogue:79693","Quartz","Quartz","","","",""
"82771","Occurrence","BM.61054","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863081000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Serpentine""}","","","NHMUK","","unknown","1623074476000","9e80e645-3cea-444b-8b93-6b09b4e022c1","present","NHMUK:ecatalogue:82771","Serpentine","Serpentine","","","",""
"82567","Occurrence","BM.60895","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863052000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Mocha-stone""}","","","NHMUK","","","1608732373000","d4cbd706-e120-42d5-9bee-676526c471cb","present","NHMUK:ecatalogue:82567","","","","","",""
"82597","Occurrence","BM.60925","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863057000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Mocha-stone""}","","","NHMUK","","","1608729732000","a79975e0-e565-4ca5-961c-406a54c5fef8","present","NHMUK:ecatalogue:82597","","","","","",""
"82783","Occurrence","BM.61063","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863082000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Tremolite""}","","","NHMUK","","","1608733090000","afb82dc4-e60b-45b9-963b-a469ad00b27a","present","NHMUK:ecatalogue:82783","Tremolite","Tremolite","","","",""
"82770","Occurrence","BM.61053","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863081000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Serpentine""}","","","NHMUK","","unknown","1623074476000","70c61650-6f7e-484a-b1c9-4ec85d00bbd9","present","NHMUK:ecatalogue:82770","Serpentine","Serpentine","","","",""
