"_id","title","identifier","type","creator","license","rightsHolder","created"
"113860","BF 66. Terebratula acuta","https://data.nhm.ac.uk/media/e72c8e72-7670-4728-a21c-d1ba049c2d82","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361812888000"
"1125110","M82405_1 Mammuthus primigenius Siberia Right m3","https://data.nhm.ac.uk/media/6476c4c3-7215-4eb5-8b0a-0b73fdfb5b94","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1438875992000"
"1125111","M82405_2 Mammuthus primigenius Siberia Right m3","https://data.nhm.ac.uk/media/2cea742a-26e4-48e5-92e3-ce18666ebe43","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1438876150000"
"1125112","M82405_3 Mammuthus primigenius Siberia Right m3","https://data.nhm.ac.uk/media/1a26ef2f-bbac-47a9-9da9-af6672b42410","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1438876329000"
"1125113","M82405_4 Mammuthus primigenius Siberia Right m3","https://data.nhm.ac.uk/media/277b0f61-d841-45be-9764-82fc4cfab5ab","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1438876371000"
"1125114","M82405_5 Mammuthus primigenius Siberia Right m3","https://data.nhm.ac.uk/media/9a7be6c0-2a1a-4ac5-aca6-f2917a7abef6","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1438876461000"
"113818","Trochus agglutinans","https://data.nhm.ac.uk/media/9624bd18-3b05-4f27-88ec-7a4d626e6a33","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361805845000"
"613895","NHM-UK_P_DF118_02_02_0163","https://data.nhm.ac.uk/media/43cce31d-2aa3-4163-bede-f216d53f8560","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1405572191000"
"614089","NHM-UK_P_DF118_02_01_0163","https://data.nhm.ac.uk/media/e71ceb98-b61a-4695-8619-4233fc4258b5","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1405579830000"
"113480","E 34082a. Echinites spatagodes","https://data.nhm.ac.uk/media/be5ba6ea-35ff-432f-b338-b1e641c54bd4","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361375095000"
"113483","E 34082c. Echinites spatagodes","https://data.nhm.ac.uk/media/a8a1baee-0f11-4c18-8b2f-00ba33cdb808","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361375211000"
"113484","E 34082b. Echinites spatagodes","https://data.nhm.ac.uk/media/7d277a69-2bda-44b7-8b37-9a9d7d4c2d0a","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361375304000"
"612478","NHM-UK_P_DF118_02_01_0285","https://data.nhm.ac.uk/media/d5c74cdc-b757-4c29-9944-7436089a6db7","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1405517571000"
"613588","NHM-UK_P_DF118_02_02_0285","https://data.nhm.ac.uk/media/335515dc-9183-44fb-be66-a61c032a5e1b","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1405542342000"
"113942","GG 25025. Buccinum","https://data.nhm.ac.uk/media/3dec01e6-70d2-4194-af08-b4c0b37b0dc5","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361893090000"
"113855","MG 1455. Orthoceras regulare","https://data.nhm.ac.uk/media/a43b8a6c-3119-4709-9a0e-17bf14e6b2a7","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361812299000"
"113483","E 34082c. Echinites spatagodes","https://data.nhm.ac.uk/media/a8a1baee-0f11-4c18-8b2f-00ba33cdb808","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361375211000"
"113484","E 34082b. Echinites spatagodes","https://data.nhm.ac.uk/media/7d277a69-2bda-44b7-8b37-9a9d7d4c2d0a","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361375304000"
"612478","NHM-UK_P_DF118_02_01_0285","https://data.nhm.ac.uk/media/d5c74cdc-b757-4c29-9944-7436089a6db7","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1405517571000"
"613588","NHM-UK_P_DF118_02_02_0285","https://data.nhm.ac.uk/media/335515dc-9183-44fb-be66-a61c032a5e1b","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1405542342000"
"113782","Cardinia attenuata Stutchbury b","https://data.nhm.ac.uk/media/5fe672d3-b9e6-4db6-9ba2-3e4fe87f3d12","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361794656000"
"113858","BF 64.Terebratula acuta","https://data.nhm.ac.uk/media/6a3eccb3-862c-42ac-aae5-ecc8419f7a79","StillImage","Consuelo Sendino","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1361812709000"
